Date,INR,GBP,EUR,JPY,CNY,CHF,CAD,BTC,XRP,ETH
"Oct 06, 2018",0.0134943661,1.3117000001,1.1524,0.0087958484,0.1455837179,1.0082677959,0.7729767334,6614.9,0.51651,227.61
"Oct 05, 2018",0.0134943661,1.3117000001,1.1524,0.0087958484,0.1455837179,1.0082677959,0.7729767334,6644.7,0.52147,227.9
"Oct 04, 2018",0.0135814206,1.3020000001,1.1515,0.0087780899,0.1455837179,1.0083694666,0.7736943907,6580.1,0.52904,221.76
"Oct 03, 2018",0.0136341946,1.2940000001,1.1478,0.0087313368,0.1455837179,1.0077597501,0.7770611547,6503.2,0.52898,219.97
"Oct 02, 2018",0.0137127185,1.2979,1.1548,0.008797396,0.1455837179,1.0163634516,0.7798487094,6533.3,0.51949,225.41
"Oct 01, 2018",0.0137127185,1.3043,1.1578,0.0087780899,0.1455837179,1.0164667615,0.7805182641,6601.9,0.57787,230.89
"Sep 30, 2018",0.0137902503,1.3039,1.1609,0.0087873462,0.1455837179,1.018848701,0.7789982083,6618.1,0.5824,232.6
"Sep 29, 2018",0.0137912012,1.3031000001,1.1609,0.0087958484,0.1455837179,1.0182262499,0.7748334108,6604.6,0.57244,231.32
"Sep 28, 2018",0.0137912012,1.3031000001,1.1609,0.0087958484,0.1455837179,1.0182262499,0.7748334108,6635.1,0.53758,221.56
"Sep 27, 2018",0.0137797988,1.3081999999,1.1641000001,0.0088198977,0.1451336681,1.0232272588,0.7667535654,6692.5,0.54312,229.09
"Sep 26, 2018",0.0137741047,1.317,1.174,0.0088707531,0.14537842,1.0353038617,0.7681081496,6462.4,0.512,214.21
"Sep 25, 2018",0.0137579968,1.3183,1.1772000001,0.0088519076,0.1456346028,1.0361620557,0.7720219254,6434.7,0.52516,219.2
"Sep 24, 2018",0.0137608367,1.3121000001,1.1748,0.0088644624,0.1458342448,1.0364842454,0.7718431615,6585,0.49298,227.92
"Sep 23, 2018",0.0138427464,1.3078999999,1.175,0.0088865192,0.145819359,1.0430791697,0.7742934572,6710,0.5729,244.55
"Sep 22, 2018",0.0138427464,1.3077,1.175,0.0088825724,0.1458342448,1.0430791697,0.7742934572,6723,0.57273,240.78
"Sep 21, 2018",0.0138427464,1.3077,1.175,0.0088825724,0.1458342448,1.0430791697,0.7742934572,6762.7,0.56312,247.69
"Sep 20, 2018",0.013885996,1.3267,1.1776999999,0.0088888889,0.1460536309,1.0428616123,0.7750135627,6500.5,0.44965,224.76
"Sep 19, 2018",0.0138197899,1.3144,1.1673,0.0089063057,0.1460216404,1.0339123242,0.7742934572,6390.9,0.3265,209.78
"Sep 18, 2018",0.0137532664,1.3149000001,1.1667000001,0.0088999644,0.1457386032,1.0366991499,0.7707723139,6342.8,0.31965,208.39
"Sep 17, 2018",0.0137854977,1.3158000001,1.1683,0.0089413448,0.1458363716,1.0388531062,0.7666360012,6254.2,0.27313,196.04
"Sep 16, 2018",0.0138686638,1.3071,1.1629999999,0.0089309637,0.1456324819,1.0338054378,0.7666360012,6498.5,0.2817,220.12
