INR,GBP,EUR,JPY,CNY,CHF,CAD,BTC,XRP,ETH
0,0,0,0,0,0,0,-0.0019520947,-0.0041505945,-0.0005529864
-0.0027927107,0.0032235343,0.0003393073,0.0008777112,0,-4.37907449592148E-05,-0.0004030264,0.0042428841,-0.006259181,0.0118611122
-0.0016842894,0.0026767079,0.0013977219,0.0023192834,0,0.0002626781,-0.0018857509,0.0051053832,4.92574222456278E-05,0.0035197581
-0.0024940724,-0.0013069561,-0.0026405548,-0.0032734006,0,-0.0036920308,-0.0015551586,-0.0020054903,0.0078620603,-0.0106097242
0,-0.0021362618,-0.00112677,0.0009541171,0,-4.41423186703082E-05,-0.0003727122,-0.0045363409,-0.0462529568,-0.0104319447
-0.0024485882,0.000133209,-0.001161266,-0.0004577126,0,-0.0010165143,0.0008466112,-0.0010643834,-0.0033912176,-0.0032045867
-2.99455322723277E-05,0.0002665405,0,-0.0004199986,0,0.0002654071,0.0023281196,0.0008868049,0.0074913933,0.0023965268
0,0,0,0,0,0,0,-0.0020009525,0.0272868701,0.0187218272
0.000359218,-0.0016963999,-0.0011954781,-0.0011858124,0.0013446344,-0.0021278123,0.0045525351,-0.0037409072,-0.0044526927,-0.0145147758
0.0001794966,-0.0029116302,-0.0036778076,-0.0024969438,-0.0007317728,-0.0050957327,-0.0007665689,0.015194544,0.0256258347,0.029166391
0.0005081757,-0.0004284771,-0.0011821566,0.0009236198,-0.0007646311,-0.0003598504,-0.0022072615,0.0018655319,-0.0110216787,-0.0100008086
-0.000089637,0.0020473166,0.0008863156,-0.0006155303,-0.0005949413,-0.0001350208,0.0001005738,-0.0100274754,0.0274623392,-0.0169418864
-0.0025774216,0.0013923958,-7.39287569924055E-05,-0.0010792813,4.43321853054534E-05,-0.0027545674,-0.0013765288,-0.0081667409,-0.0652495218,-0.0305852309
0,0.000066416,0,0.0001929275,-4.43321853054622E-05,0,0,-0.0008405911,0.0001288899,0.006747257
0,0,0,0,0,0,0,-0.0025570109,0.0073489802,-0.012288063
-0.0013547732,-0.0062646054,-0.0009968084,-0.0003087221,-0.000652841,9.05912377523878E-05,-0.0004037132,0.0171733595,0.0977263544,0.0421894497
0.0020755952,0.0040451787,0.0038521895,-0.0008501197,0.000095135,0.0037429693,0.0004037132,0.0073847405,0.1389914121,0.0299549423
0.0020955852,-0.000165175,0.0002232876,0.0003093283,0.0008426202,-0.0011690303,0.0019794831,0.0032810046,0.0092084768,0.0028872064
-0.0010165948,-0.0002971567,-0.0005951788,-0.0020145732,-0.0002912478,-0.0009014003,0.0023368966,0.0061092523,0.0683053041,0.0265321808
-0.0026121701,0.0028810674,0.001974662,0.0005045185,0.0006075996,0.0021153305,0,-0.0166413581,-0.0134174423,-0.0503148103
-0.0013573119,9.96888852501006E-05,0,0.0003489436,0.0001517672,8.97858964059246E-05,-0.0003663949,-0.0010079618,0.0007715306,-0.0029690423
0,0,0,0,0,0,0,0.0019111046,0.0064571619,0.0257524797
0.0009475506,-0.0012941737,-0.0022347964,-0.0005429161,-0.0015327535,-0.0008986955,-0.0011678626,0.000629966,-0.0017989712,-0.0049617656
0.0007409069,0.0019593514,0.0023841925,-0.0025296164,0.0010013361,0.0023327515,-3.34137146808951E-05,0.0097391082,0.0129933615,0.0623155526
0.0028793109,0.0004329125,0.0007103342,0.0014417385,0.000784245,0.0006705871,0.0023327722,0.0028350281,0.0093487682,-0.0050014367
-0.0011074754,0.0002666224,0.0004866884,-0.0020275948,-0.0011008738,0.0012935397,0.0032119825,-0.0011858065,-0.0082213574,-0.0272510358
-0.0021029811,0.0032794777,0.0015385227,-0.00074322,-0.0009893684,-0.0028150263,0.0002638484,0.0047140549,-0.0099798227,0.0025408393
-0.001901425,0.0001679861,0,0.0005868607,0.0002412078,0.0002240826,-0.0005278573,0.0038379258,-0.0028119941,-0.0017249727
0,0,0,0,0,0,0,-0.0151184008,-0.0148839899,-0.0387622787
0.0009668421,-0.0002687466,-0.0025860978,-0.0012921378,-0.000527022,-0.0018408995,-0.0005284996,-0.0074963098,-0.0211590357,-0.0280993709
-0.0011786293,0.0009413416,-0.0002614994,0.0030479704,-0.000317792,0.0029595815,0.0011552587,-0.0128004661,0.0310764032,0.0023716964
-0.0010301382,0.0016184906,0.0017588099,-0.0003116327,0.0008701964,0.0012049487,0.0004283146,-0.0400580206,-0.0720955355,-0.0967463631
-0.0022505495,-0.0005401673,-0.0015720407,-0.0014441999,-0.0013600511,-0.0023236307,-0.0031729418,0.0053979827,-0.0049544789,-0.005657556
-0.0012825466,-0.0016500954,0.0008601745,0.0002345215,0.0008330601,0.0001791829,-0.0009298249,-0.0013364386,-0.0087272513,-0.0089987007
0,-0.0014093945,0,-0.0003909403,-0.0002796282,-0.0004032654,-0.0008318864,0.0055696837,-0.0056428086,-0.0005002207
0,0,0,0,0,0,0,0.0104797094,0.0144997194,0.0206265044
-0.0015931829,-0.0015717756,-0.0026126423,-0.0002347299,0.0008256552,0.0001344634,-0.0019361354,0.0019328717,-0.0003888624,-0.0038224854
